src_url,vcs,name,web_url,description
https://github.com/ant-design/ant-design-pro,git,ant-design/ant-design-pro,http://pro.ant.design/,"An out-of-box UI solution for enterprise applications as a React boilerplate."
https://github.com/tabler/tabler,git,tabler/tabler,https://tabler.io/,"Premium and Open Source dashboard template with responsive and high-quality UI."
https://github.com/marmelab/react-admin,git,marmelab/react-admin,http://marmelab.com/react-admin,"A frontend Framework for building B2B applications running in the browser on top of REST/GraphQL APIs, using ES6, React and Material Design."
